"id","sentiment","text"
17710,"Positive","PPP Pontianak Gelar Rakor, Sinkronisasi dan Suksesi Pemenangan Harry-Yandi - Tribun Pontianak"
17711,"Negative","PPP Sesalkan Pemprov DKI Larang Takbir Keliling"
17712,"Positive","Demokrat Desak TGB Bersuara Soal Isu Buzzer - Kantorberitapemilu.com"
17713,"Positive","Hari Terakhir, Rapimnas Demokrat Serap Aspirasi Rakyat - Kantorberitapemilu.com"
17714,"Positive","Baru Penjajakan, Demokrat Siapkan AHY Untuk 2024 - Kantorberitapemilu.com"
17715,"Positive","Demokrat Jadi Penentu Terbentuknya Poros Ketiga - Kantorberitapemilu.com"
17716,"Negative","Hinca Panjaitan Ungkapkan Deretan Kecurangan yang Diterima Demokrat - rayapos.com"
17717,"Negative","Demokrat Gelar Rapat Dadakan, Karena Merasa Diperlakukan Tak Adil oleh Negara - rayapos.com"
17718,"Positive","13 Bakal Calon Mendaftar di Demokrat Singkawang - ANTARA News Kalimantan Barat"
17719,"Positive","Demokrat Pilih Tidak Bergabung ke Salah Satu Koalisi - ANTARA News Kalimantan Barat"
17720,"Positive","Demokrat Sanggau Komitmen Dukung Pemberantasan Korupsi - ANTARA News Kalimantan Barat"
17721,"Positive","Dukung Muda-Jiwo, Ini Penjelasan Sekjen DPP Demokrat - KalbarOnline.Com"
17722,"Positive","Daftar di Demokrat, Sutarmidji: Membangun Kalbar Harus Bersatu - KalbarOnline.Com"
17723,"Positive","Sempat Kecelakaan, Pemudik Bus Demokrat Tetap Lanjutkan Perjalanan"
17724,"Negative","Dikabarkan Ditangkap Polisi, Politikus Demokrat Kaget"
17725,"Positive","Demokrat Kalbar Gelar Perayaan Imlek Bersama - ANTARA News Kalimantan Barat"
17726,"Negative","Bus gratis dari Demokrat alami kecelakaan di Tol Cikampek"
17727,"Positive","Ruhut Benarkan Ada Dana Hambalang ke Kongres Demokrat - ANTARA News Kalimantan Barat"
17728,"Positive","Demokrat Tawarkan Pasangan AHY-Cak Imin - Kantorberitapemilu.com"
17729,"Positive","Nelayan dan Petambak Garam Indramayu Dukung TGB di Pilpres 2019 - rayapos.com"
17730,"Positive","8.900 WNI di Malaysia Telah Gunakan Hak Pilih di Pilpres - ANTARA News Kalimantan Barat"
17731,"Positive","Trump Bersiap Menuju Pilpres 2020 - Kantorberitapemilu.com"
17732,"Positive","Kominfo Jawab Kabar Hoax Soal Registrasi Kartu Prabayar Terkait Pilpres - Tribun Pontianak"
17733,"Positive","Kapolda Metro: Deklarasi Melawan Hoax Tak Berhubungan dengan Pilpres - rayapos.com"
17734,"Positive","Duet Jokowi-Anies di Pilpres 2019? - Kantorberitapemilu.com"
17735,"Positive","KSAD: 35.000 Personel TNI AD Amankan Pilpres - ANTARA News Kalimantan Barat"
17736,"Positive","Pengamat: Kepastian Rekapitulasi Pilpres Positif Bagi Rupiah - ANTARA News Kalimantan Barat"
17737,"Positive","ICMI Komitmen Sukseskan Pilpres 2014 - ANTARA News Kalimantan Barat"
17738,"Positive","Tak Ingin Seperti Pak Harto, JK Ogah Maju di Pilpres 2019 - rayapos.com"
17739,"Positive","Tiga Parpol Ini Akan Mendominasi Pilpres 2019 - Kantorberitapemilu.com"
17740,"Positive","Kapolri Cek Kesiapan Pengamanan Pilpres di Kalbar - ANTARA News Kalimantan Barat"
17741,"Positive","Hendropriyono: Relawan Jokowi-JK Waspadai Kecurangan Pilpres - ANTARA News Kalimantan Barat"
17742,"Positive","Kapolri Klaim Pelaksanaan Pilpres Tanpa Gangguan - ANTARA News Kalimantan Barat"
17743,"Positive","Jangkar Cak Imin Incar Pilpres 2019 - Kantorberitapemilu.com"
17744,"Positive","MK Tidak Berpengaruh Tekanan Memutus Sengketa Pilpres - ANTARA News Kalimantan Barat"
17745,"Negative","Mahfud : Intelijen Asing Coba Intervensi Pilpres Indonesia - ANTARA News Kalimantan Barat"
17746,"Negative","Hanura Kritik Presiden ke Bali Tak Peka Bencana - ANTARA News Kalimantan Barat"
17747,"Positive","Gede Pasek Suardika Dinilai Tepat Jadi Sekjen Hanura - Tribunnews.com"
17748,"Positive","Hanura Segera Rampungkan Susunan Kepengurusan Baru - Kompas.com"
17749,"Negative","Hanura Terbelah Jadi Dua, Wiranto Akhirnya Angkat Suara - Tribun Pontianak"
17750,"Positive","DPD Hanura Sampaikan Pesan Menko Polhukam - ANTARA News Kalimantan Barat"
17751,"Positive","Islah, Wiranto Putuskan Oesman Sapta Tetap Ketua Umum Hanura - Tribun Pontianak"
17752,"Positive","Polres Singkawang Telusuri Hilangnya Politisi Hanura - ANTARA News Kalimantan Barat"
17753,"Positive","Harapan Tanjung Menang Besar di Liga Hanura Tayan - ANTARA News Kalimantan Barat"
17754,"Positive","Hanura Kapuas Hulu Buka Pendaftaran Calon Bupati - ANTARA News Kalimantan Barat"
17755,"Positive","Bumi Sumsel Deklarasi Dukung Cak Imin Capres, Apa Alasannya? - Kantorberitapemilu.com"
17756,"Positive","Capres Pro Penista Agama Bukan Pilihan Alumni 212 - Kantorberitapemilu.com"
17757,"Positive","Ini Alasan Rizal Ramli Layak Menyandang ""Capres Rakyat"" - Kantorberitapemilu.com"
17758,"Positive","Capres 2019 Dan Kuda Hitam: Catatan Atas Survei Indo Barometer - Kantorberitapemilu.com"
17759,"Positive","Ketua Bawaslu Kalbar Kutuk Terjadinya Pemukulan Panwascam Kubu Raya - Tribun Pontianak"
17760,"Positive","Bawaslu Dan Satpol PP Tertibkan APK Yang Menyalahi Aturan - Tribun Pontianak"
17761,"Positive","Bawaslu Tak Temukan Pelanggaran Verifikasi Dukungan Kartius Pensong - Tribun Pontianak"
17762,"Positive","Bawaslu Kalbar Sambangi Kantor Tribun Pontianak - Tribun Pontianak"
17763,"Negative","Metro TV, TV One, MNC Group Diperingatkan Bawaslu - ANTARA News Kalimantan Barat"
17764,"Positive","PBB Bawa 5 Saksi Di Sidang Bawaslu - Kantorberitapemilu.com"
17765,"Positive","Bawaslu : Perusak APK Dapat Dijatuhkan Sanksi Pidana - Tribun Pontianak"
17766,"Positive","Bawaslu Kalbar Hanya Terima Tembusan Izin Gubernur - ANTARA News Kalimantan Barat"
17767,"Positive","Bawaslu Akan Tambah 5 Anggota Panwas di 2018 - Tribun Pontianak"
17768,"Positive","Baliho Pasangan Cagub Terpampang di Mobil Konvoi Acara Cap Go Meh di Ketapang - Tribun Pontianak"
17769,"Positive","KPK Dapat Dukungan Dari Cagub Jabar, Soal Apa? - Kantorberitapemilu.com"
17770,"Positive","Pasangan Cagub Sumsel Harus Lebih Siap Adu Argumen - Kantorberitapemilu.com"
17771,"Positive","Deklarasi Anti Hoax di Ambalau, Ini Pesan Masyarakat Kepada Cagub Kalbar - Tribun Pontianak"
17772,"Positive","Lolos Sebagai Cagub dan Cawagub Kalbar, Midji-Norsan Tak Masalahkan Nomor Urut - Tribun Pontianak"
17773,"Positive","Soal Cagub DKI, Yusril Ihza Mahendra Tunggu Pinangan Parpol"
17774,"Positive","Maju Cagub Sultra, Komisoner Ombudsman Lobi Gubenur..."
17775,"Positive","Gelar Pertemuan di Sanggau, Cagub Milton Sampaikan Keinginannya Jika Terpilih Jadi Gubernur - Tribun"
17784,"Positive","Anies: Debat Bukan Persiapan Ujian Thesis, Harus Dihapal Semua - Tribunnews.com"
17785,"Positive","Mahasiswa Indonesia Raih Penghargaan di Ajang Debat PBB"
17786,"Positive","Ekskul Debat SMAN 4 Pontianak, Ukir Prestasi Hingga Tingkat Nasional - Tribun Pontianak"
17787,"Positive","Debat Kandidat Gubernur Aceh Tahap Dua Digelar 11 Januari : Okezone News"
17788,"Positive","Ekskul Debat Bahasa Indonesia SMAN 4 Targetkan Tembus Level Internasional - Tribun Pontianak"
17789,"Positive","Gabung Ekskul Debat di Sekolah, Rasa Percaya Diri Gadis 'Berdarah Biru' Ini Meningkat - Tribun Ponti"
17790,"Positive","Jokowi Ibaratkan Debat Soal Infrastruktur Seperti Telur dan Ayam"
17791,"Positive","PKB: Seru jika Semua Parpol Boleh Ajukan Calon - Kompas.com"
17792,"Positive","PKB Proyeksikan Cak Imin Jadi Pimpinan MPR, Alternatif Gagal Nyapres? - Kantorberitapemilu.com"
17793,"Positive","Sekjen PKB Tak Tahu soal Kiriman Parsel"
17794,"Positive","Kembali Beredar B1-KWK PKB Dukung Sutarmidji-Norsan, Ini Kata Daniel Johan - Tribun Pontianak"
17795,"Positive","1000 Warga Ikut dalam Program Mudik Bareng PKB"
17796,"Positive","Dilirik PKB jadi calon gubernur, Sekda DKI bilang niat di hati ada"
17797,"Positive","Hapus Denda PKB Hanya di Era Anies-Sandi? Ini Kata Pemprov DKI"
17798,"Positive","Menkokesra Laporkan Perkembangan MERS-CoV ke SBY - ANTARA News Kalimantan Barat"
17799,"Positive","SBY Melayat ke Rumah Duka Husni Kamil Manik"
17800,"Positive","SBY akan Dianugerahi Penghargaan Negarawan Dunia 2013 - ANTARA News Kalimantan Barat"
17801,"Positive","SBY Lepas Ribuan Pemudik"
17802,"Negative","Nazaruddin Ungkap Anak SBY Dapat Banyak Proyek - ANTARA News Kalimantan Barat"
17803,"Positive","Tunjukkan sikap kenegarawanan, SBY penuhi undangan Jokowi ke Istana - rayapos.com"
17804,"Positive","Molor, Kajian Kereta Kencang JKT-SBY Rampung Maret 2018"
17805,"Positive","Sosok Husni Kamil Manik di Mata SBY"
17806,"Positive","SBY: Aceh Sampai Papua Mesti Makmur Bersama - ANTARA News Kalimantan Barat"
17807,"Positive","Presiden SBY Tunaikan Shalat Ied di Masjid Istiqlal - ANTARA News Kalimantan Barat"
17808,"Positive","Kontras Inginkan SBY Hentikan Diskriminasi HAM - ANTARA News Kalimantan Barat"
17809,"Positive","Molor, Kajian Kereta Kencang JKT-SBY Rampung Maret 2018"
17810,"Positive","Presiden SBY Menuju New York - ANTARA News Kalimantan Barat"
17811,"Positive","Ajak Mega dan SBY foto bersama, Jokowi dipuji warganet - rayapos.com"
17812,"Positive","Presiden SBY Tabur Bunga TMP Seroja Timor Leste - ANTARA News Kalimantan Barat"
17813,"Negative","KPK Periksa Ipar SBY Terkait Kasus Hambalang - ANTARA News Kalimantan Barat"
17814,"Positive","SBY: Pelayanan Kesehatan di Indonesia Harus Responsif - ANTARA News Kalimantan Barat"
17815,"Positive","Presiden SBY Minta Pengungsi Sinabung Kembali Setelah Aman - ANTARA News Kalimantan Barat"
17816,"Positive","SBY Bertemu Keluarga Empat TKI Terancam Hukuman Mati - ANTARA News Kalimantan Barat"
17817,"Positive","SBY Siap Bantu Presiden Mendatang - ANTARA News Kalimantan Barat"
17818,"Positive","SBY : Saya Tetap Fokus Pada Tugas Negara - ANTARA News Kalimantan Barat"
17819,"Positive","Presiden SBY : Islam Identik Dengan Langkah Damai - ANTARA News Kalimantan Barat"
17820,"Positive","Ditemani dua puteranya, SBY melayat ke rumah Husni Kamil Manik"
17821,"Positive","Kereta Kencang JKT-SBY Pakai Jalur Baru? Ini Kata Menhub"
17822,"Positive","Kapan Kereta Kencang JKT-SBY Dapat Pembiayaan Jepang?"
17823,"Positive","Presiden SBY Minta Personel Polisi Wanita Ditambah - ANTARA News Kalimantan Barat"
17824,"Positive","Presiden SBY: Realisasi MP3EI Capai RP737,9 Triliun - ANTARA News Kalimantan Barat"
17825,"Positive","Presiden SBY dan Ibu Ani Pamitan Kepada Pegawai Istana - ANTARA News Kalimantan Barat"
17826,"Positive","SBY Hadiri KTT ASEAN di Brunei - ANTARA News Kalimantan Barat"
17827,"Positive","Presiden Filipina Sebut SBY 'Kakak Asean' - ANTARA News Kalimantan Barat"
17828,"Positive","Kenangan SBY Bersama Husni Kamil Manik "
17829,"Positive","JK Minta Pekerjaan Proyek Kereta Kencang JKT-SBY Dipercepat"
17830,"Positive","Agus Yudhoyono: SBY Bukan Sekadar Orangtua, Dia Mentor Saya - News Liputan6.com"
17831,"Positive","Presiden SBY Dianugerahi Antara Achievement Award - ANTARA News Kalimantan Barat"
17832,"Positive","Dahlan Lakukan Aksi Simpatik Untuk Presiden SBY - ANTARA News Kalimantan Barat"
17833,"Positive","KPK Surati SBY dan Boediono Soal Laporan Harta Kekayaan - ANTARA News Kalimantan Barat"
17834,"Positive","Rute Kereta Kencang JKT-SBY Diputuskan Pekan Depan"
17835,"Positive","SBY Ingin Kota Indonesia Seperti Jepang dan Eropa - ANTARA News Kalimantan Barat"
17836,"Positive","SBY Paparkan Fasilitas Istana Kepada Jokowi - ANTARA News Kalimantan Barat"
17837,"Positive","SBY Berikan Pandangan Tentang Kasus Munir - ANTARA News Kalimantan Barat"
17838,"Positive","Pertemuan Jokowi - SBY Penting Diwujudkan - ANTARA News Kalimantan Barat"
17839,"Positive","SBY: Kepedulian Presiden Jokowi Pada Pendidikan Tinggi - ANTARA News Kalimantan Barat"
17840,"Negative","PM Australia Batalkan Bertemu SBY di Bali - ANTARA News Kalimantan Barat"
17841,"Negative","Anas Tuding Dakwaan Imajiner, Minta Saksi SBY dan Ibas - ANTARA News Kalimantan Barat"
17842,"Positive","Anak Pimpinan PKS Ungkap Identitas Suami Bunda Putri - ANTARA News Kalimantan Barat"
17843,"Positive","PKS Jabar Gelar Rakerwil Pemenangan Pasangan 'Asyik' - rayapos.com"
17844,"Positive","Situasi Aman, Kepolisian Puji Kebersihan dan Ketertiban Massa PKS - Tribun Pontianak"
17845,"Positive","""Try Out"" SBMPTN PKS Se-Kalbar Sukses Digelar - ANTARA News Kalimantan Barat"
17846,"Negative","Fahri Hamzah Laporkan Presiden PKS ke Polisi, Ini Kasusnya - Tribun Pontianak"
17847,"Positive","PKS: Ledia Hanifa Gantikan Fahri Hamzah - ANTARA News Kalimantan Barat"
17848,"Positive","Arief Joni Sebut Dukungan PKS Untuk Midji-Norsan Sesuai Keinginan Masyarakat Kalbar - KalbarOnline.C"
17849,"Positive","PKS Luncurkan 75 Posko Mudik "
17850,"Negative","Fahri Hamzah Beberkan Tweet Presiden PKS ke Polisi - rayapos.com"
17851,"Negative","Tolak Wacana Penggolongan Daya Listrik, PKS : Pemerintah Tidak Adil dan Tak Bijaksana - rayapos.com"
17852,"Positive","Fraksi PKS Tetap Perjuangkan Pelarangan Miras Menjadi Undang-Undang - rayapos.com"
17853,"Positive","Pelaku Penembakan Ambulans PKS Ditangkap, Berikut Kronologi Selengkapnya - Tribun Pontianak"
17854,"Positive","Anis Matta: PKS Konsisten Tolak Kenaikan BBM - ANTARA News Kalimantan Barat"
17855,"Positive","DPD PKS Singkawang Gelar Rakorda - ANTARA News Kalimantan Barat"
17856,"Negative","Ambulans PKS Ditembak di Pontianak Timur - Tribun Pontianak"
17857,"Positive","Fraksi PKS: Tidak Masalah Presidential Threshold Nol Persen"
17858,"Positive","Resmi Diusung PKS, Sujiwo Apresiasi Kinerja Sutarmidji - Tribun Pontianak"
17859,"Positive","Cerita Menteri Susi Terlibat Debat Seru dengan Pengusaha"
17860,"Positive","Cerita Menteri Susi Terlibat Debat Seru dengan Pengusaha"
17861,"Positive","Jadi Saksi Sidang Ariesman, Ahok Tak Mau Ada Debat Kusir"
17862,"Positive","Waka Kesiswaan Jelaskan Tentang Ekskul Debat di SMAN 4 Pontianak - Tribun Pontianak"
17863,"Positive","Cerita Menteri Susi Terlibat Debat Seru dengan Pengusaha"
17864,"Positive","Darmin: Enggak Usah Lagi Debat Beras Surplus atau Defisit"
17865,"Positive","BNN Imbau Ada Pertanyaan soal Penanganan Narkoba dalam Debat Calon Kepala Daerah - Tribunnews.com"
17866,"Positive","Cerita Menteri Susi Terlibat Debat Seru dengan Pengusaha"
17867,"Positive","Debat Kandidat Gubernur Sumsel Harus Jawab Persoalan Masyarakat - Kantorberitapemilu.com"
17868,"Positive","Agus Yudhoyono Mengaku Tak Punya Persiapan Khusus Hadapi Debat Calon Gubernur - Tribunnews.com"
17869,"Positive","Aktif di Ekskul Debat, Gadis Cantik Berdarah India Pakistan Ini Dapat Pelajaran Berharga - Tribun Po"
17870,"Negative","?Agus Tidak Hadir Debat, Taufik: Mirip Jokowi 2012 Lalu - Tribunnews.com"
17871,"Positive","Sandiaga Sudah Kantongi Jawaban untuk Debat Publik : Okezone News"
17872,"Positive","Debat Kandidat Cabup Dan Cawabup Sanggau Bakal Digelar, Catat Jadwalnya! - Tribun Pontianak"
17873,"Negative","Megawati: Kalau Ada yang Mengancam Presiden dan Wakil Presiden, Panggil Saja Kita - Tribunnews.com"
17874,"Positive","Jokowi: Megawati Pejuang Demokrasi, yang Ganggu Presiden Pasti Dilawan - Kompas.com"
17875,"Positive","Megawati Ingatkan Ketua MPR soal Pola Pembangunan Nasional Semesta Berencana - Kompas.com"
17876,"Positive","Megawati: Kalau Ada yang Macam-macam, Presiden Panggil Saja Kita - Kompas.com"
17877,"Positive","Megawati Bisa Saja Gunakan Hak Prerogatif Putuskan Pendamping Jokowi - Kantorberitapemilu.com"
17878,"Positive","Megawati: Waspadai Peramal Masa Depan yang Anti-Bhinneka Tunggal Ika - Kompas.com"
17879,"Positive","INFO MUDIK PKS Buka 80 Posko Mudik Lebaran"
17880,"Positive","PKS Keberatan Sejumlah Elemen Penting Kebutuhan Wong Cilik..."
17881,"Positive","Ini Suasana Masyarakat Ramai hadiri Jalan Sehat PKS Kota Singkawang - Tribun Pontianak"
17882,"Negative","Ambulans PKS Ditembak Orang Tak Dikenal, Ini Penjelasan dari Polsek Timur - Tribun Pontianak"
17883,"Negative","Idrus PKS Sindir Larangan Takbir Keliling Pemprov Jakarta"
17884,"Negative","Fahri Hamzah Laporkan Presiden PKS Sohibul Iman, ""Saya Merasa sedang Dirusak dan Dihilangkan"" - Trib"
17885,"Positive","PMII Gelar Aksi Lanjutan ke Bawaslu, Tuntut Tindakan Tegas Bawaslu dan Gakkumdu Kepada Pelaku - Trib"
17886,"Positive","Pengurus Besar HMI: Kader HMI Harus Unggul - ANTARA News Kalimantan Barat"
17887,"Positive","Wabup Buka Pembinaan Kader Bela Negara Sajingan - ANTARA News Kalimantan Barat"
17888,"Positive","50 Kader Ikut Pelatihan Pendampingan Kelompok Bina Keluarga - Tribun Pontianak"
17889,"Positive","Harlah ke 3 Komisariat PMII STAI Wujudkan Kader Kaffah - Tribun Pontianak"
17890,"Positive","Lapmi Perkuat Kapasitas Kader Dengan Pelatihan Jurnalistik - ANTARA News Kalimantan Barat"
17891,"Positive","Kader Posyandu Lebih Diperhatikan Dengan BOP - ANTARA News Kalimantan Barat"
17892,"Positive","IPDN Kader Pemerintah Siap Ditempatkan di Seluruh Indonesia - ANTARA News Kalimantan Barat"
17893,"Positive","35 Kader Jumantik Pasar Baru Disosialisasikan Penyakit Hewan Menular - Beritajakarta.id"
17894,"Positive","19 Kader Nasdem Sulteng Lulus Pendidikan Bela Negara - rayapos.com"
17895,"Positive","Sebelum Kampanye Ajukan STTP | Pontianak Post"
17896,"Positive","Di Nigeria, Indomie Jadi Alat Kampanye - rayapos.com"
17897,"Negative","Fraksi Gerindra DPRD DKI: Mereka Sering Kritik Pemprov Karena Belum Move On - rayapos.com"
17898,"Positive","Suryansah Sebut Gerindra Sudah Pasti Usung Edi Kamtono di Pilwako - KalbarOnline.Com"
17899,"Positive","Gugat Cerai Ahok-Vero, Mengapa Terkait Gerindra? - rayapos.com"
17900,"Positive","Gerindra: Daripada bangun LRT, mending duitnya dialokasikan ke Kereta Logistik dan Double Track - ra"
17901,"Positive","Gerindra : Nasib Sudirman Said Mirip Anies Baswedan - rayapos.com"
17902,"Positive","Rakorcab Gerindra Mempawah, Milton Targetkan Suara Diatas 50 Persen - Tribun Pontianak"
17903,"Positive","DPRD DKI Fraksi Gerindra Sarankan Anggaran Lift di Rumah Gubernur Dihapus - rayapos.com"
17904,"Negative","Gerindra Masih Bingung 'Tunjuk' Pengganti VAP di DPD Sulut - rayapos.com"
17905,"Positive","Bareskrim Gali Keterangan 2 Saksi Pelapor Kasus Desmond Gerindra - News Liputan6.com"
17906,"Negative","Politikus Gerindra Diperiksa KPK Terkait Rohadi"
17907,"Positive","Alasan Gerindra Masukkan Nama Gatot Dan Anies - Kantorberitapemilu.com"
17908,"Positive","Gerindra dan Nasdem Berpeluang Rebut Wakil Ketua DPRD Landak - ANTARA News Kalimantan Barat"
17909,"Positive","Gerindra Singkawang Akan Berkoalisi Dengan KMP - ANTARA News Kalimantan Barat"
17910,"Positive","Rakorda Gerindra, Konsolidasi Untuk Kemenangan Milton Menuju Kalbar Baru - Tribun Pontianak"
17911,"Negative","Gerindra Ogah Percaya Hasil Survei - Kantorberitapemilu.com"
17912,"Positive","DPR Minta BI Lebih Fokus Jaga Inflasi | Republika Online"
17913,"Negative","Dokumen Empat Paslon Gubernur Kalbar Dinyatakan Belum Lengkap, Ini Penjelasan Masing-masing Kandidat"
17914,"Positive","Suasana Antrean Kendaraan di Sekitar Lokasi Titik Kumpul Massa Paslon Herlina-Muhammad Pagi - Tribun"
17915,"Positive","Hasil PSU Gayo Lues, Paslon Muhammad Amru-Said Sani..."
17916,"Positive","Najwa Shihab Ditanya, Sama-sama Keturunan Arab, Mengapa Tak Condong Paslon 3? - Tribun Pontianak"
17917,"Positive","Jamin Netralitas, Anggota TNI Langkat Jaga Jarak Dengan Paslon - Kantorberitapemilu.com"
17918,"Positive","Ada Agenda Lain, Paslon Paham di Pilwalkot Sukabumi Minta Ubah Jadwal - Kantorberitapemilu.com"
17919,"Negative","Pendukung JWS Kecewa Keputusan DPP PDIP - rayapos.com"
17920,"Positive","Wabup Hadiri HUT PDIP ke-44 - KalbarOnline.Com"
17921,"Positive","Survei Cyrus Berindikasi ""Kembarkan"" Kepemimpinan PDIP - Aktual.Com Terhangat Terpercaya"
17922,"Positive","PDIP Usung Kembali Jokowi, Ini Kriteria Cawapresnya - rayapos.com"
17923,"Positive","Sambangi Gerindra, Lukas Enembe Sampaikan Visi Misi..."
17924,"Negative","Gerindra Bakal Laporkan Pertemuan Jokowi Dan PSI - Kantorberitapemilu.com"
17925,"Positive","Jokowi Rangkul Gerindra di Kabinet ? - ANTARA News Kalimantan Barat"
17926,"Positive","Pasangan Edi-Bahasan Resmi Kantongi Dukungan Gerindra - Tribun Pontianak"
17927,"Positive","Ahmad Dhani ke Gerindra, Nasdem Anggap Lumrah - Kantorberitapemilu.com"
17928,"Positive","Waketum Gerindra tak persoalkan Djarot absen di Sertijab Anies-Sandi - rayapos.com"
17929,"Positive","Deklarasi Milton-Boyman? Ini Kata Ketua DPD Gerindra Kalbar - Tribun Pontianak"
17930,"Negative","Vonnie Bakal 'Digusur' dari Posisi Ketua DPD Gerindra Sulut - rayapos.com"
17931,"Positive","Gerindra Masih Rahasiakan Barisan Koalisi - Kantorberitapemilu.com"
17932,"Positive","Cara Gerindra Bergerilya untuk Sjafrie Sjamsoeddin"
17933,"Positive","Gerindra Tidak Khawatir Kehadiran Poros Baru - Kantorberitapemilu.com"
17934,"Positive","Suryadharma Ali: Belum Ada Kesepakatan Koalisi Dengan Gerindra - ANTARA News Kalimantan Barat"
17935,"Positive","Gerindra Sambut Baik Nasdem Dukung Anies-Sandi - Kantorberitapemilu.com"
17936,"Positive","Kantongi Restu Gerindra, Edi-Basahan Mulai Susun Strategi - Tribun Pontianak"
17937,"Positive","Usung Syech Bandar- Hermanto Lim, Ini Mandat DPC PKB Mempawah - Tribun Pontianak"
17938,"Positive","PKB Berangkatkan Ribuan Pemudik ke Jateng amp Jatim"
17939,"Positive","Blusukan Bersama PKB, Sandiaga Minta Restu Nahdliyin"
17940,"Positive","Meski PKB Belum Mencapai Target, Realisasi Pajak UPPD Sintang Sudah 106,35 Persen - Tribun Pontianak"
17941,"Positive","Yasonna Tegaskan Pemerintah Tidak Sadap SBY - ANTARA News Kalimantan Barat"
17942,"Positive","KPK Panggil SBY dan Ibas Jadi Saksi Anas - ANTARA News Kalimantan Barat"
17943,"Negative","Presiden SBY: Beban Rakyat Terlalu Berat Bila BBM Naik - ANTARA News Kalimantan Barat"
17944,"Positive","Presiden SBY Pimpinan Renungan Suci - ANTARA News Kalimantan Barat"
17945,"Positive","Tersambung Tol, Mudik JKT-SBY Tinggal Wusss..."
17946,"Positive","Presiden SBY Puji Taufiq Kiemas Sebagai Negarawan Sejati - ANTARA News Kalimantan Barat"
17947,"Positive","Polri Tegaskan Tidak Sadap SBY - ANTARA News Kalimantan Barat"
17948,"Positive","SBY Minta Penyadapan Atas Dirinya Diusut Tuntas - ANTARA News Kalimantan Barat"
17949,"Positive","Lepas Pemudik, SBY Kenang Masa Muda"
17950,"Positive","Presiden SBY Kunjungi Timor Leste - ANTARA News Kalimantan Barat"
17951,"Positive","SBY Dukung Langkah Pemerintah Tertibkan Medsos - ANTARA News Kalimantan Barat"
17952,"Positive","Presiden SBY Siapkan Buku Masa Kepresidenannya - ANTARA News Kalimantan Barat"
17953,"Positive","SBY Undang Jokowi Orientasi Istana - ANTARA News Kalimantan Barat"
17954,"Positive","Pernyataan SBY Jadi Perhatian Media Mesir - ANTARA News Kalimantan Barat"
17955,"Positive","Lepas ribuan pemudik, SBY bercerita soal pengalaman mudik yang indah"
17956,"Positive","Masyarakat Papua Nobatkan SBY Sebagai Bapak Umat Beragama - ANTARA News Kalimantan Barat"
17957,"Positive","Anas Berterimakasih Ditahan KPK, Juga Kepada SBY - ANTARA News Kalimantan Barat"
17958,"Positive","Kapan Kereta Kencang JKT-SBY Dapat Pembiayaan Jepang?"
17959,"Positive","Presiden SBY Kunjungi Pengungsi Gunung Kelud - ANTARA News Kalimantan Barat"
17960,"Positive","JKT-SBY Bisa Lewat Tol Saat Mudik Lebaran, Ini Jalurnya"
17961,"Positive","SBY: Teruskan Liberalisasi Perdagangan dalam APEC - ANTARA News Kalimantan Barat"
17962,"Positive","SBY: Perbaikan Jalan Rusak Terpadu di Seluruh Daerah - ANTARA News Kalimantan Barat"
17963,"Positive","Pengamat: SBY Sudah Tangkap Isyarat Perlawanan Anas - ANTARA News Kalimantan Barat"
17964,"Positive","SBY Dianugerahi Kado Istimewa Sebagai Sahabat Pers - ANTARA News Kalimantan Barat"
17965,"Negative","OalaahAnak Buah SBY Stres Ditangkap KPK"
17966,"Positive","Presiden SBY Berkurban Seekor Sapi Berat 1 Ton - ANTARA News Kalimantan Barat"
17967,"Positive","Presiden SBY Akan Serahkan Buku Asrip ke Anri - ANTARA News Kalimantan Barat"
17968,"Positive","Usai Pertemuan, SBY-Jokowi Sepakat Lanjutkan Transisi Kepemimpinan - ANTARA News Kalimantan Barat"
17969,"Positive","Presiden SBY akan Hadiri KTT ASEAN dan D8 - ANTARA News Kalimantan Barat"
17970,"Positive","Indo Barometer: Efek SBY Mulai Terasa - ANTARA News Kalimantan Barat"
17971,"Positive","Presiden SBY Optimistis Pariwisata Bisa Terus Berkembang - ANTARA News Kalimantan Barat"
17972,"Positive","Ucapan Ultah ke-64 Banjiri Twitter SBY - ANTARA News Kalimantan Barat"
17973,"Negative","Biaya Kereta Kencang JKT-SBY Bengkak Jadi Rp 100 Triliun"
17974,"Positive","SBY Husni Kamil ditekan kanan-kiri tetap bersikap independen"
17975,"Positive","SBY Ingin Bicara Dengan Jokowi Terkait Aksi Damai 4/11 - ANTARA News Kalimantan Barat"
17976,"Positive","Sutarmidji Effect Menuju Pilgub Kalbar 2018 - KalbarOnline.Com"
17977,"Positive","Jelang Pilgub Awasi Hoax | Pontianak Post"
17978,"Positive","Pengamanan Pilgub Kalbar | Pontianak Post"
17979,"Positive","Sutarmidji Effect Jelang Pilgub Kalbar 2018 - KalbarOnline.Com"
17980,"Positive","Gatranews - Presiden Yudhoyono Jamu Presiden de Kirchner"
17981,"Positive","Gatranews - PBNU: Jangan Politisasi Banjir Jakarta"
17982,"Negative","Gatranews - Sistem Parpol Saat Ini Digiring Kembali ke Masa Orba"
17983,"Positive","Gatranews - GAFATAR akan adakan Rakernas Pertama"
